REF,Company,Location,Review_Date,Bean_Origin,Bar_Name,CocoaPer,Enc_ingr,Characteristics,Rating,ingri
2656,Woodblock,U.S.A.,2021,Tanzania,"Kokoa Kamili, batch 23",70,2,"short, tart, fruit, sweet edge",3,"2- B,S"
2652,Wm,U.S.A.,2021,Dominican Republic,Dominican Republic,70,6,"dairy, caramel, brownie, nutty",3.5,"3- B,S,C"
2622,White Label aka Mutari,U.S.A.,2021,Trinidad,"Garcia Estate, 2019 harvest, b. GT722162021820",72,6,"complex, mild tobacco, nut, fruit",3.75,"3- B,S,C"
2622,White Label aka Mutari,U.S.A.,2021,Honduras,"La Masica, 2015 harvest, b. LH74HORZConcheV2",74,2,"brownie, nutty, roasty",3.75,"2- B,S"
2626,White Label aka Mutari,U.S.A.,2021,Uganda,"Semuliki, 2017-18 h., batch SU72conche22212621",72,6,"nutty, cocoa, yogurt",3.5,"3- B,S,C"
2626,White Label aka Mutari,U.S.A.,2021,Philippines,"Kablon Farms, b. KP7417211821",74,6,"nutty, roasted cherry, coffee",3.5,"3- B,S,C"
2578,Videri,U.S.A.,2021,Ecuador,Costas Esmeraldas,75,2,floral & fruit,3.5,"2- B,S"
2578,Videri,U.S.A.,2021,Blend,"""Classic Dark"", Ecuador-Guatemala-Dom. Rep.",70,6,"nutty, grassy, cocoa",3.5,"3- B,S,C"
2578,Videri,U.S.A.,2021,Dominican Republic,Zorzal,75,2,"roasty, berry notes",3,"2- B,S"
2578,Videri,U.S.A.,2021,Guatemala,Chimelb,75,2,"earthy, harsh, acidic",2.75,"2- B,S"
2664,Triangle Roasters,U.S.A.,2021,Philippines,Malah Na Bulong,70,2,"sticky, butterscotch, sl. Hammy",3.25,"2- B,S"
2566,Taylor Made,U.S.A.,2021,Haiti,"Haiti, batch 2020SEP",67,6,"earthy, fatty, gritty",2.75,"3- B,S,C"
2648,Belvie,Vietnam,2021,Vietnam,"Ben Tre, batch 70301",70,6,dominate cocoa notes,3.75,"3- B,S,C"
2634,sweet beans,U.S.A.,2021,Trinidad,Trinidad,80,6,"herbal, tea, dried fruit",3.75,"3- B,S,C"
2634,sweet beans,U.S.A.,2021,Uganda,Uganda,77,6,"melon, mocha",3.5,"3- B,S,C"
2634,sweet beans,U.S.A.,2021,Peru,Peru,72,6,"earthy, roasty, hammy",3,"3- B,S,C"
2634,sweet beans,U.S.A.,2021,Honduras,Honduras,72,6,"overly roasty, spicy",3,"3- B,S,C"
2684,Spinnaker,U.S.A.,2021,Uganda,"Bundibugyo, Semuliki Forest, batch 9-1",70,2,"dairy, cocoa, well balanced",3.5,"2- B,S"
2684,Spinnaker,U.S.A.,2021,Madagascar,"Bejofo, Akesson, batch 10-1",70,2,"plum, roasty undertone, sour",3.5,"2- B,S"
2684,Spinnaker,U.S.A.,2021,Belize,"Maya Mountain, Toledo District, batch 12-1",70,2,"strong roast, tart raspberry",3.25,"2- B,S"
2700,Soma,Canada,2021,Vietnam,"Ben Tre, batch BEN210924 8983",70,6,"cinamon, nutmeg, hot cocoa",4,"3- B,S,C"
2638,Soma,Canada,2021,Venezuela,"Guasare, Rosario de Perija, b.4279-GUA201123",70,6,"spice, sour malt, woody",3.5,"3- B,S,C"
2638,Soma,Canada,2021,Madagascar,"Bejofo, Sambirano V., Akesson, b. 6116-BEJ210324",70,6,"red fruit, peanut butter, cocoa",3.5,"3- B,S,C"
2680,Soma,Canada,2021,Blend,Dream Machine (Mad./Dom.Rep./Ecuador),62,15,"sweet, cocoa, candy like",3.25,"4- B,S,C,V"
2660,Solstice,U.S.A.,2021,Vietnam,"Dak Nong, Lot 103120",70,6,"molasses, raisins, astringent",3.5,"3- B,S,C"
2652,Sirene,Canada,2021,India,"Anamalai, Pollachi City",73,6,"butterscotch, slight burnt note",3.25,"3- B,S,C"
2652,Sirene,Canada,2021,Mexico,"Soconusco, Rayen Cacao Co-op",73,6,"bland, sour, lacks development",3,"3- B,S,C"
2660,Seahorse,U.S.A.,2021,India,Anamalai,70,2,"sticky, dark berry, roasty edge",3.5,"2- B,S"
2594,Seahorse,U.S.A.,2021,Vietnam,Ben Tre,70,2,blueberry & cocoa dominate,3.5,"2- B,S"
2590,Seahorse,U.S.A.,2021,Peru,Ucayali,70,2,"orange, fig, cocoa",3.5,"2- B,S"
2660,Seahorse,U.S.A.,2021,Trinidad,Gewan Gangaram,75,2,"sl roasty, woody, melon, spicy",3.25,"2- B,S"
2660,Ruket,Italy,2021,Tanzania,Kokoa Kamili. Lot 73T,72,2,"clean, pure cocoa, cherry, gritty",3.5,"2- B,S"
2668,Ruket,Italy,2021,Indonesia,"Sumba, lot 02IN",77,2,"mild smoke, tart, spice, harsh",2.75,"2- B,S"
2672,Rozsavolgyi,Hungary,2021,Peru,"Piura, Norandino, Gran Blanco Nativo, b. PB4704",72,6,"blackberry, mild floral",3.75,"3- B,S,C"
2618,Raphio,U.S.A.,2021,Ghana,"Suhum Region, ABOCFA, b. IG7720",72,6,"gateway, nutty, rich cocoa",3.5,"3- B,S,C"
2668,Ranger,U.S.A.,2021,Mexico,Soconusco,70,2,"fruit, yogurt, astringent",3.25,"2- B,S"
2594,Qantu,Canada,2021,Peru,"Chaska, Junin, lot 425",70,6,"bold, fig w/ floral undertone",3.75,"3- B,S,C"
2672,Avanaa,Canada,2021,Dominican Republic,Zorzal,70,2,"intense, sour tart plum, rubber",3,"2- B,S"
2622,Potomac,U.S.A.,2021,Peru,"Ucayali, batch 200105",70,2,"anise, cocoa, dried fruit",3.75,"2- B,S"
2538,Potomac,U.S.A.,2021,Uganda,"Semuliki Forest, batch 20035",75,2,"light cocoa, dairy,faint cinnamon",3.75,"2- B,S"
2672,Avanaa,Canada,2021,Colombia,Tumaco,70,2,"chemical, spice, earthy",2.5,"2- B,S"
2586,Poppy and Peep,U.S.A.,2021,Ghana,Ghana,66,6,"extra sweet, nutty, deep cocoa",3,"3- B,S,C"
2582,Poppy and Peep,U.S.A.,2021,Guatemala,Guatemala,76,6,tart with woody undertones,3,"3- B,S,C"
2582,Poppy and Peep,U.S.A.,2021,Haiti,Haiti,71,6,"sweet, spoiled milk, vegetal",2.75,"3- B,S,C"
2700,Pierre Marcolini,Belgium,2021,China,"Hainan, lot 218012",72,13,"fruity, rich, grassy",3.5,"4- B,S,C,L"
2566,Aruntam,Italy,2021,Tanzania,"Kokoa Kamili, lot TZ72199",72,13,"caramel, sour milk",3.5,"4- B,S,C,L"
2676,Orfeve,Switzerland,2021,Madagascar,"Bejofo Estate, 2019 Harvest, b. 4/6-2",75,6,"tart, green apple, rich",3.5,"3- B,S,C"
2680,Orfeve,Switzerland,2021,Peru,"Piura, Gran Blanco, 2019 Harvest, b. 7/9-2",75,6,"grape, punchy, deep cocoa",3.25,"3- B,S,C"
2676,Orfeve,Switzerland,2021,Peru,"San Ignacio, 2020 Harvest, Cajamarca, b. 6/10-1",70,6,"caramel, honey, roasty",3.25,"3- B,S,C"
2680,Orfeve,Switzerland,2021,Colombia,"Tumaco, 2019 Harvest, b. 3/8-2",75,6,"burnt honey, rubbery",2.75,"3- B,S,C"
2562,Aruntam,Italy,2021,Madagascar,"Bejofo E., Akesson, lot MA72820",72,13,"strawberry, sour",3.25,"4- B,S,C,L"
2562,Aruntam,Italy,2021,India,"Idukki Kerala, lot IN728221",72,13,"cinamon, nutmeg, fatty",3.25,"4- B,S,C,L"
2566,Odyssey,U.S.A.,2021,Haiti,Pisa,70,2,"blackberry, tang",3.75,"2- B,S"
2704,Odyssey,U.S.A.,2021,Venezuela,Chuao,70,2,"strong start, fruity, acidic",3.5,"2- B,S"
2696,Odyssey,U.S.A.,2021,Peru,Ucayali,70,2,"deep cocoa, cherry, slight ashy",3.25,"2- B,S"
2582,Odyssey,U.S.A.,2021,U.S.A.,Hawaii Kona,70,2,"burnt fudge, nutty",3.25,"2- B,S"
2704,Odyssey,U.S.A.,2021,Venezuela,Chuao,80,2,"berries, burnt, rubbery, off",3,"2- B,S"
2582,Odyssey,U.S.A.,2021,Blend,"Elegant Asian Blend"", Vietnam, India",100,0,"sharp fruit, intense, sl. Sour",3,1- B
2542,Monsoon,U.S.A.,2021,Ecuador,"Esmeraldas, batch 9",75,2,"intense, floral, cocoa,long lasting",3.75,"2- B,S"
2656,Monsoon,U.S.A.,2021,Peru,"Ucayali, batch 9",72,6,"licorice, cocoa",3.5,"3- B,S,C"
2680,Monarque,Canada,2021,Philippines,"Kablon, lot 07 (made for Etat de Choc)",76,6,"black tea, floral",3.5,"3- B,S,C"
2652,Moku,U.S.A.,2021,Dominican Republic,"Zorzal, batch 8",70,6,"dark fruit, slight harsh molasses",3.25,"3- B,S,C"
2648,Moku,U.S.A.,2021,Madagascar,"Bejofo, batch 7",70,6,"creamy, off note, rubbery, petro",2.75,"3- B,S,C"
2570,Millesime,Belgium,2021,Tanzania,Kilombero Valley,90,6,"sandy, bitter, sour fruit",3,"3- B,S,C"
2570,Millesime,Belgium,2021,India,Kaithapara,74,6,"unripe fruit, sour, watery",3,"3- B,S,C"
2566,Millesime,Belgium,2021,Panama,Bocas del Toro,75,6,"sandy, green, grassy, harsh",2.75,"3- B,S,C"
2704,Maui Kuia,U.S.A.,2021,U.S.A.,"Kuia Estate, Hawaii, lot 083122",70,6,"sweet, banana, mild sour orange",3.5,"3- B,S,C"
2598,Maribea,U.S.A.,2021,Brazil,"Bahia, Catongo",72,6,"delicate, nutty, butterscotch",3.25,"3- B,S,C"
2598,Maribea,U.S.A.,2021,Bolivia,"Alto Beni, Walikewa",72,6,"floral, earthy, acidic, harsh",2.75,"3- B,S,C"
2598,Maribea,U.S.A.,2021,Mexico,Tabasco,72,6,"earthy, musty, sweet",2.75,"3- B,S,C"
2610,Marana,Peru,2021,Peru,"Piura, Norandino coop, cacao blanco",70,6,"mild orange, herbaceous",3.5,"3- B,S,C"
2610,Marana,Peru,2021,Peru,"San Martin, Allima coop",80,6,"smoked nuts, tang",3.25,"3- B,S,C"
2664,Madhu,U.S.A.,2021,Colombia,Tumaco,70,2,"very sticky, nutty, woody",2.5,"2- B,S"
2692,Luisa Abram,Brazil,2021,Brazil,Wild Jurua (limited edition for Caputo's),70,6,"mild sweet honey, rum, off",3.25,"3- B,S,C"
2586,Loon,U.S.A.,2021,Belize,Maya Mountain,75,6,"cherry, fatty, cocoa",3,"3- B,S,C"
2590,Loon,U.S.A.,2021,Bolivia,Alto Beni,70,6,"sweet, sl. smokiness, fruit",2.75,"3- B,S,C"
2562,Letterpress,U.S.A.,2021,U.S.A.,"Maui Kuia E., Hawaii, 2018-2019 h., batch 1",70,6,home baked banana nut bread,3.75,"3- B,S,C"
2562,Letterpress,U.S.A.,2021,Sao Tome & Principe,"Satocao, limited ed., batch 2",70,6,"buttery, sunflower, astringent",3.5,"3- B,S,C"
2708,Kasama,Canada,2021,Papua New Guinea,"Karkar Island, Madong, batch 34",70,6,"plum, molasses",3.5,"3- B,S,C"
2708,Kasama,Canada,2021,Philippines,"Davao, Mindanao, batch 24",70,6,"licorice, melon",3.25,"3- B,S,C"
2586,Animas,U.S.A.,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75,2,"orange citrus, harsh earthiness",3.25,"2- B,S"
2586,Animas,U.S.A.,2021,Belize,"Maya Mountain, batch 39",75,2,"burnt toast, cherry",3,"2- B,S"
2614,Hemisphere,U.S.A.,2021,Nicaragua,"Matagalpa, El Tuma region",70,2,"delicate fruit, black tea",3.25,"2- B,S"
2614,Hemisphere,U.S.A.,2021,Ecuador,"Esmeraldas, Muisne Estate",70,2,"harsh, earthy, dirty",2.75,"2- B,S"
2606,Hecho,Mexico,2021,Mexico,"Soconusco, La Rioja Farm, Chiapas",70,2,"delicate, carame, tang",3.5,"2- B,S"
2696,Green Door,U.K.,2021,India,"Idukki Hills, batch 11",70,6,"spicy, vanilla",3,"3- B,S,C"
2696,Great Lakes,U.S.A.,2021,Vietnam,"Dak Lak, batch 09",73,6,"roasty, sweet, fruity, cocoa",3.5,"3- B,S,C"
2692,Great Lakes,U.S.A.,2021,Dominican Republic,"Duarte Province, El Cibao, batch 10",75,6,"dried fruit, orange peel, cocoa",3.5,"3- B,S,C"
2692,Great Lakes,U.S.A.,2021,Tanzania,"Kokoa Kamili, Kilombero District, batch 11",70,6,"nutty, spicy, candied orange",3.5,"3- B,S,C"
2692,Great Lakes,U.S.A.,2021,Madagascar,"Sambirano, Ambanja, batch 11",72,6,"fruity, cocoa, sweet",3.5,"3- B,S,C"
2644,Gotham,U.S.A.,2021,Dominican Republic,Oko Caribe,70,2,"sandy, sweet, earthy,deep cocoa",3.25,"2- B,S"
2642,Gotham,U.S.A.,2021,Bolivia,"Alto Beni, ""Wild""",70,2,spice/herb dominate cocoa base,3.25,"2- B,S"
2642,Gotham,U.S.A.,2021,India,"Idukki Hills, ""Adventurous""",70,2,"sweet, dominate cocoa, spice",3,"2- B,S"
2602,Goodnow Farms,U.S.A.,2021,Ecuador,"Costa Esmeraldas, Salazar Farm",70,6,"banana, cocoa, late floral",3.75,"3- B,S,C"
2664,Fruition,U.S.A.,2021,Peru,"Ucayali, batch 1",72,6,"black licorice, tangy",3.75,"3- B,S,C"
2554,Fruition,U.S.A.,2021,Dominican Republic,"Hispaniola, Dom. Rep. blend, batch 50",68,15,"dried fruit, cocoa base, fatty",3.75,"4- B,S,C,V"
2550,Fruition,U.S.A.,2021,Dominican Republic,"Los Bejucos, batch 1",77,2,"sl. bitter up front, fatty, intense",3.25,"2- B,S"
2486,Finnia,Canada,2020,Blend,"Ucayali (Peru), Papua New G., Tabasco (Mexico)",70,6,"fruit, cocoa, fatty",3.25,"3- B,S,C"
2478,Finnia,Canada,2020,Mexico,Mexico,70,6,"banana, bland, sour, off",3,"3- B,S,C"
2482,Finnia,Canada,2020,Colombia,"Chigorodo, batch 001",70,6,"nutty, melon, vinegar",2.75,"3- B,S,C"
2474,Finnia,Canada,2020,Honduras,Honduras,70,6,"off, hammy, roasty",2.75,"3- B,S,C"
2534,El Buen,U.S.A.,2020,Colombia,Tumaco,70,2,"cocoa, spice, alcohol, dirty",3,"2- B,S"
2534,El Buen,U.S.A.,2020,Madagascar,"Akessons, Sambirano Valley",70,2,"molasses, red fruit, astringent",3,"2- B,S"
2466,Dick Taylor,U.S.A.,2020,Blend,"Northerner, Madagascar and Brazil",73,2,"burnt honey, earthy",3.5,"2- B,S"
2526,Cultura,U.S.A.,2020,Mexico,"Tabasco, Agrofloresta Cacao, 2020 h., batch 20098",70,6,"raisins, honey, molassses",3.5,"3- B,S,C"
2522,Cultura,U.S.A.,2020,Belize,"Maya Mountain, 2020 harvest, batch 20107",75,6,"raspberry, cocoa",3.5,"3- B,S,C"
2522,Cultura,U.S.A.,2020,Haiti,"Pisa, 2020 harvest, batch 20111",70,6,rich malt,3.5,"3- B,S,C"
2526,Cultura,U.S.A.,2020,Guatemala,"Lachua, Cacao Verapaz, 2018 harvest, batch 20092",70,6,"sandy, sweet, basic cocoa base",3.25,"3- B,S,C"
2466,Crow and Moss,U.S.A.,2020,Honduras,"Wampusirpi, batch 41",70,2,"banana, spicy, grassy",3.5,"2- B,S"
2502,Crow and Moss,U.S.A.,2020,Ecuador,"Camino Verde, batch 84",70,2,"bold, black tea, floral, banana",3.25,"2- B,S"
2466,Crow and Moss,U.S.A.,2020,Colombia,"Aruaca, batch 39",70,2,"nutty, citrus",3.25,"2- B,S"
2466,Crow and Moss,U.S.A.,2020,Dominican Republic,"Zorzal, batch 40",70,2,"deep cherry, earthy, rubbery",3.25,"2- B,S"
2474,Coco,Canada,2020,Peru,Ucayali,70,6,"balanced, anise, creamy",3.5,"3- B,S,C"
2514,Chokola,U.S.A.,2020,Madagascar,"Bejofo, 2019 H., Batch 20",67,2,"cherry, perfectly balanced roast",4,"2- B,S"
2534,Chokola,U.S.A.,2020,Belize,"Maya Mountain, 2017 harvest, Batch 11",70,2,"fruity, honey, cocoa, roasty",3.75,"2- B,S"
2514,Chokola,U.S.A.,2020,Venezuela,"Chuao w/ nibs, 2017-2018 harvest, Batch 9",75,2,"mild lemon, cocoa, crisp nibs",3.75,"2- B,S"
2534,Chokola,U.S.A.,2020,Guatemala,"Verapaz, 2017 harvest, Batch 14",70,2,"rich, raisiny, molasses",3.5,"2- B,S"
2510,Cacao Santa Fe (Art of Chocolate),U.S.A.,2020,Ecuador,Costa Esmeraldas,72,15,"cocoa base, sweet, earthy",3,"4- B,S,C,V"
